rank,hyp_id,sig,gap_pct,gates,status,birth_mode,family,family_size,breakthroughs,blocked_by,k_values,formula,description
11,R-094389-162,99.0,4.0,6/6,champion,relay,ramanujan_relay,1,1,,"[17, 18, 19, 20]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: zeta4/GCF_BBF8DADD; α(n)=[0, -2, 1] β(n)=[-2, 4]; closed≈-5/2]",Ramanujan live kernel seed from GCF_BBF8DADD targeting zeta4; symbolic hypothesis -5/2
12,X-188528-567,99.0,4.0,6/6,champion,cross_seed,borel_bridge,1,1,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; vquad×borel],Cross-track seed from VQuadTranscendenceAgent + X-336499-460
13,X-342910-385,99.0,4.0,6/6,champion,cross_seed,borel_bridge,1,1,,"[17, 18, 19, 20]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; vquad×borel],Cross-track seed from VQuadTranscendenceAgent + X-336499-460
14,E-373332-218,99.0,6.0,6/6,champion,teleport,teleport_beta,1,1,,"[5, 24]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) + β_k/c_k  [β pattern 5, β(5)=-4.5000]","β-explore teleport from F-336501-332, pattern 5"
15,E-373332-361,99.0,6.0,6/6,champion,teleport,teleport_conductor,1,1,,"[5, 24]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=48],conductor teleport from F-336500-534: N→48
16,E-094409-351,99.0,0.0,6/6,champion,teleport,teleport_beta,2,1,,"[13, 14, 15, 16, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) + β_k/c_k  [β pattern 2, β(5)=-7.8750]","β-explore teleport from F-339783-712, pattern 2"
17,E-196490-138,99.0,0.0,6/6,champion,teleport,teleport_formula,2,1,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + O(log(c_k)/c_k²)  [with log-correction],formula-morph teleport from F-351870-275: add log-correction
18,E-236931-936,99.0,0.0,6/6,champion,teleport,teleport_beta,2,1,,"[13, 14, 15, 16, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) + β_k/c_k  [β pattern 6, β(5)=-8.0000]","β-explore teleport from F-353446-453, pattern 6"
19,E-260973-623,99.0,0.0,6/6,champion,teleport,teleport_formula,2,1,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + O(log(c_k)/c_k²)  [with log-correction],formula-morph teleport from F-355933-038: add log-correction
20,BOREL-L1,99.0,0.0,5/6,champion,seed,borel_bridge,2,0,,[],V₁(k) = k · e^k · E₁(k),Lemma 1 fully proven. V_quad irrationality via Stern-Stolz.
21,X-336499-460,99.0,0.0,5/6,champion,cross_seed,borel_bridge,2,1,,[],V₁(k) = k · e^k · E₁(k)  [cross-track seed via Bessel/Laplace bridge],Cross-track seed from VQuadTranscendenceAgent + factorial_sq
22,X-340486-125,99.0,0.0,5/6,champion,cross_seed,borel_bridge,2,1,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -5/48·(k·c_k) + -6.0000/c_k + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; analytic×borel],Cross-track seed from H-002599 + BOREL-L1
23,C-328173-438,99.0,4.0,6/6,champion,cascade,cascade,2,1,,"[5, 6, 7, 8]",β_k / A₂⁽ᵏ⁾ = -(k+1)(k+3)/(8·c_k)  [from A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)...],Apply G-01 derivation package — full symbolic proof Lemm to β_k closed form
24,C-328173-573,99.0,4.0,6/6,champion,cascade,cascade,2,1,,"[5, 6, 7, 8]",Theorem 2* (k≥5): A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [via cascade lemma],Use G-01 derivation package — full symbolic proof Lemm as lemma → Theorem 2* direct attack
25,C_P14_01,99.0,4.0,6/6,champion,seed,seed,2,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [k≥5 extended],G-01 universal law k≥5. Blocked by Lemma K Kloosterman bound.
26,E-165609-737,99.0,4.0,6/6,champion,teleport,teleport_conductor,2,1,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=60],conductor teleport from E-840288-047: N→60
27,E-389928-512,99.0,4.0,6/6,champion,teleport,teleport_conductor,2,1,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Lemma K at conductor N=24],conductor teleport from X-339761-405: N→24
28,H-002695,99.0,4.0,6/6,champion,seed,seed,2,1,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k),G-01 confirmed k=5..8 via zero-API engine. k=9..12 pending.
29,R-338072-270,99.0,4.0,6/6,champion,relay,ramanujan_relay,2,1,,"[5, 6, 7, 8]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: log2/LOG2_EULER; α(n)=[0, 0, 1] β(n)=[0, 1]]",Ramanujan seed pool seed from LOG2_EULER targeting log2
30,R-338072-329,99.0,4.0,6/6,champion,relay,ramanujan_relay,2,1,,"[5, 6, 7, 8]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: e/EULER_E; α(n)=[0, 1] β(n)=[1, 2]]",Ramanujan seed pool seed from EULER_E targeting e
31,K-377160-520,99.0,0.0,6/6,champion,g1_specialist,borel_bridge,3,1,,"[9, 10, 11, 12]",V₁(k) = k · e^k · E₁(k) + -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) [G1-specialist: canonical-lock; donor=C-328173-705],G1-specialist for BOREL-L1: Freeze the 5/6 Borel skeleton and lock the canonical known-k calibration
32,K-377160-849,99.0,0.0,6/6,champion,g1_specialist,borel_bridge,3,1,,"[9, 10, 11, 12]",V₁(k) = k · e^k · E₁(k) + -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) [G1-specialist: donor-lock; donor=C-328173-705],G1-specialist for BOREL-L1: Import the known-k donor block from C-328173-705
33,K-377160-906,99.0,0.0,6/6,champion,g1_specialist,borel_bridge,3,1,,"[9, 10, 11, 12]",V₁(k) = k · e^k · E₁(k) + -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) [G1-specialist: high-energy; donor=C-328173-705],G1-specialist for BOREL-L1: High-energy G1 sweep around the known-k manifold
34,X-337209-569,99.0,0.0,6/6,champion,cross_seed,cross_seed,3,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; analytic×vquad],Cross-track seed from X-336499-357 + VQuadTranscendenceAgent
35,X-338898-957,99.0,0.0,6/6,champion,cross_seed,cross_seed,3,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace/Bessel bridge; analytic×lemma_k],Cross-track seed from X-336499-357 + LemmaKAgent
36,X-339761-936,99.0,0.0,6/6,champion,cross_seed,cross_seed,3,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; lemma_k×vquad],Cross-track seed from LemmaKAgent + VQuadTranscendenceAgent
37,X-336499-357,99.0,0.0,6/6,champion,cross_seed,borel_bridge,4,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: double-Borel kernel bridge; lemma_k×double_borel],Cross-track seed from LemmaKAgent + factorial_sq
38,X-337209-140,99.0,0.0,6/6,champion,cross_seed,borel_bridge,4,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: double-Borel kernel bridge; analytic×double_borel],Cross-track seed from X-336499-357 + factorial_sq
39,X-338072-407,99.0,0.0,6/6,champion,cross_seed,borel_bridge,4,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; analytic×borel],Cross-track seed from X-336499-357 + X-336499-460
40,X-341634-771,99.0,0.0,6/6,champion,cross_seed,borel_bridge,4,1,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; lemma_k×borel],Cross-track seed from LemmaKAgent + X-336499-460
41,R-075911-357,99.0,4.0,6/6,champion,relay,ramanujan_relay,4,1,,"[13, 14, 15, 16]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: zeta3/GCF_5782F9DC; α(n)=[0, -1, 1] β(n)=[1, 2]; closed≈1]",Ramanujan live kernel seed from GCF_5782F9DC targeting zeta3; symbolic hypothesis 1
42,R-109842-743,99.0,4.0,6/6,champion,relay,ramanujan_relay,4,1,,"[13, 14, 15, 16]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: zeta3/GCF_85A6D7D3; α(n)=[-6, 6] β(n)=[2, 0, 2, -2]; closed≈2]",Ramanujan live kernel seed from GCF_85A6D7D3 targeting zeta3; symbolic hypothesis 2
43,R-336499-021,99.0,4.0,6/6,champion,relay,ramanujan_relay,4,1,,"[13, 14, 15, 16]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: zeta3/APERY_ZETA3; α(n)=[0, 0, 0, 1] β(n)=[-5, 27, -51, 34]]",Ramanujan seed pool seed from APERY_ZETA3 targeting zeta3
44,R-338897-911,99.0,4.0,6/6,champion,relay,ramanujan_relay,4,1,,"[13, 14, 15, 16]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: catalan/CATALAN_CF; α(n)=[0, 0, 1] β(n)=[-2, 4]]",Ramanujan seed pool seed from CATALAN_CF targeting catalan
45,R-122823-348,99.0,4.0,6/6,champion,relay,ramanujan_relay,5,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: pi/RAMANUJAN_PI; α(n)=[-1, 0, 4] β(n)=[0, 6]]",Ramanujan seed pool seed from RAMANUJAN_PI targeting pi
46,R-336498-684,99.0,4.0,6/6,champion,relay,ramanujan_relay,5,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: pi/GCF_93A50D98; α(n)=[0, 0, 1] β(n)=[1, 2]; closed≈4/pi]",Ramanujan live kernel seed from GCF_93A50D98 targeting pi; symbolic hypothesis 4/pi
47,R-337204-527,99.0,4.0,6/6,champion,relay,ramanujan_relay,5,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: pi/BROUNCKER_PI; α(n)=[-1, 2, 4] β(n)=[2, 0]]",Ramanujan seed pool seed from BROUNCKER_PI targeting pi
48,R-337204-529,99.0,4.0,6/6,champion,relay,ramanujan_relay,5,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: pi/EULER_PI_4; α(n)=[0, 0, 1] β(n)=[1, 2]]",Ramanujan seed pool seed from EULER_PI_4 targeting pi
49,R-338897-828,99.0,4.0,6/6,champion,relay,ramanujan_relay,5,1,,"[9, 10, 11, 12]","A₁⁽ᵏ⁾ = -(k·c_k)/48 − (k+1)(k+3)/(8·c_k)  [Ramanujan relay: zeta2/EULER_ZETA2; α(n)=[0, 0, 0, 0, 1] β(n)=[0, -2, 6, 4]]",Ramanujan seed pool seed from EULER_ZETA2 targeting zeta2
50,X-341634-197,88.0,13.33,4/6,escaped,cross_seed,cross_seed,1,0,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + -6.0000/c_k + Ω_bridge/c_k²  [cross-track: Laplace/Bessel bridge; lemma_k×analytic],Cross-track seed from LemmaKAgent + H-002599
51,X-338902-547,86.0,13.33,4/6,escaped,cross_seed,cross_seed,1,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + -6.0000/c_k + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; vquad×analytic],Cross-track seed from VQuadTranscendenceAgent + H-002599
52,X-339761-405,86.0,13.33,4/6,escaped,cross_seed,borel_bridge,1,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + -6.0000/c_k + Ω_bridge/c_k²  [cross-track: double-Borel kernel bridge; double_borel×analytic],Cross-track seed from factorial_sq + H-002599
53,F-336501-892,81.5,13.33,4/6,escaped,fertilized,fertilized,1,0,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[5, 6, 7, 8, 24]]","k-extension of H-002695 to k=[5, 24]"
54,F-337226-907,81.5,13.33,4/6,escaped,fertilized,fertilized,1,0,,"[9, 10, 11, 12, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of R-336498-684 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
55,F-351870-169,81.5,13.33,4/6,escaped,fertilized,fertilized,1,0,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of X-339761-936 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
56,F-340501-830,79.0,13.33,4/6,escaped,fertilized,fertilized,2,0,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of X-339761-405 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
57,F-341644-572,79.0,13.33,4/6,escaped,fertilized,fertilized,2,0,,"[5, 6, 7, 8, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of R-338072-329 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
58,F-336500-534,73.0,13.33,4/6,escaped,fertilized,fertilized,2,0,,"[5, 24]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k),α-blend of R-336499-021 (λ=0.31) and C-328173-573
59,F-336501-332,73.0,13.33,4/6,escaped,fertilized,fertilized,2,0,,"[5, 24]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + 0.0000/c_k,"β-swap: α from X-336499-460, β from C-328173-438"
60,F-337226-208,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + 0.0000/c_k,"β-swap: α from C-328173-438, β from X-336499-357"
61,F-337226-249,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k),α-blend of C-328173-438 (λ=0.67) and C-328173-705
62,F-339783-712,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of R-338897-911 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
63,F-350319-233,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) + -6.0000/c_k,"β-swap: α from R-337204-529, β from X-340486-125"
64,F-351870-275,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k),α-blend of R-337204-529 (λ=0.38) and F-350319-233
65,F-353446-453,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]","A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k)  [k∈[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","k-extension of F-350319-233 to k=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
66,F-355933-038,68.7,13.33,4/6,escaped,fertilized,fertilized,7,0,,"[13, 14, 15, 16, …]",A₁⁽ᵏ⁾ = -1/48·(k·c_k) − (k+1)(k+3)/(8·c_k),α-blend of X-341634-197 (λ=0.40) and F-337226-907
67,X-340486-598,68.5,20.0,3/6,escaped,cross_seed,borel_bridge,2,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -5/48·(k·c_k) + -6.0000/c_k + Ω_bridge/c_k²  [cross-track: Laplace transcendence bridge; borel×analytic],Cross-track seed from X-336499-460 + H-002599
68,E-696119-547,63.69,20.0,3/6,escaped,teleport,teleport_alpha,1,0,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -0.229167·(k·c_k) − (k+1)(k+3)/(8·c_k),α-flip teleport from E-149867-204: α=-0.229167
69,E-149867-204,63.68,20.0,3/6,escaped,teleport,teleport_alpha,1,0,,"[5, 6, 7, 8, …]",A₁⁽ᵏ⁾ = -0.270833·(k·c_k) − (k+1)(k+3)/(8·c_k),α-flip teleport from F-341644-572: α=-0.270833
70,E-351605-351,61.69,20.0,3/6,escaped,teleport,teleport_alpha,1,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -0.229167·(k·c_k) − (k+1)(k+3)/(8·c_k),α-flip teleport from X-338902-547: α=-0.229167
71,E-494847-397,61.69,20.0,3/6,escaped,teleport,teleport_formula,1,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -5/48·(k·c_k) − (k+1)(k+3)/(8·c_k) + O(log(c_k)/c_k²)  [with log-correction],formula-morph teleport from X-340486-598: add log-correction
72,E-840288-047,61.69,20.0,3/6,escaped,teleport,teleport_alpha,1,0,,"[5, 6, 7, 8]",A₁⁽ᵏ⁾ = -1/6·(k·c_k) − (k+1)(k+3)/(8·c_k),α-flip teleport from E-351605-351: α=-1/6
73,H-002599,57.0,20.0,3/6,champion,seed,seed,1,0,,[5],A₁⁽ᵏ⁾ = -(5·c₅)/48 − 6/c₅,G-01 law k=5. All 4 gates passed. ASR outer scalar confirmed spurious.
